host,name,original_counties,observed_local_items,observed_total_items,status,reason
fcnp.com,Falls Church News-Press,virginia/falls-church,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
eurweb.com,EURweb,georgia/lee,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
finance-commerce.com,Finance & Commerce,wisconsin/columbia,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
futurism.com,Futurism,ohio/holmes,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
farmprogress.com,Farm Progress,ohio/seneca,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fox5vegas.com,FOX5 Las Vegas,nevada/nye,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fstribune.com,Fort Scott Tribune,kansas/bourbon,7,15,held,HTTP 403
fergusfallsjournal.com,Fergus Falls Journal,minnesota/otter-tail,5,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
gizmodo.com,gizmodo,wyoming/laramie,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
georgiarecorder.com,Georgia Recorder,georgia/muscogee,0,15,approved,"State-focused newsroom identified by the States Newsroom network directory and verified on the publisher website. Listed as a statewide supplement, not as a county-based newsroom."
greenfieldvedette.com,Greenfield Vedette Online,missouri/polk,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
hconews.com,HCO News,georgia/columbia,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
gazettejournal.net,Gazette Journal,virginia/gloucester,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
hellomagazine.com,Hello!,arizona/gila,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
gwhatchet.com,The GW Hatchet,virginia/loudoun,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
gbtribune.com,Great Bend Tribune,kansas/pawnee,1,10,approved,Publisher explicitly identifies Barton and Pawnee counties and their towns in its service-area description.
horrorfuel.com,Horrorfuel,virginia/winchester,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
houmatimes.com,The Times of Houma/Thibodaux,louisiana/terrebonne,1,10,approved,Houma/Thibodaux masthead and current Terrebonne/Lafourche reporting support both Louisiana parishes.
indyweek.com,Indy Week,north-carolina/wake,2,10,approved,"Publisher explicitly identifies Raleigh, Durham, Chapel Hill and the Triangle; mapped to Wake, Durham and Orange counties."
independentherald.com,Independent Herald,west-virginia/kanawha,3,10,held,Ownership and statewide coverage recently changed; needs recertification.
ibtimes.sg,International Business Times Singapore,kentucky/bourbon,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
heraldstandard.com,Herald-Standard,pennsylvania/greene,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
iredellfreenews.com,Iredell Free News,north-carolina/iredell,6,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
informnny.com,InformNNY,new-york/jefferson,2,10,held,HTTP 403
ironmountaindailynews.com,The Daily News,wisconsin/florence,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kelo.com,KELO-AM,south-dakota/union,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kaaltv.com,KAAL TV,minnesota/winona,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
interestingengineering.com,Interesting Engineering,california/ventura,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kgab.com,KGAB,wyoming/laramie,4,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
kiss951.com,Kiss 95.1,south-carolina/york,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
khak.com,98.1 KHAK,iowa/linn,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
knsiradio.com,KNSI,minnesota/stearns,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kbhbradio.com,kbhbradio,south-dakota/meade,1,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
kpbs.org,KPBS,california/imperial,1,12,approved,KPBS explicitly serves San Diego and Imperial counties through both public television and radio.
krmg.com,KRMG,oklahoma/muskogee,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
krtv.com,KRTV,montana/cascade,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kscbnews.net,KSCB Radio News,kansas/stevens,4,10,approved,"Liberal, Kansas station serves southwest Kansas and the panhandles; only reviewed Seward and Stevens county relationships are listed."
ksnt.com,KSNT,kansas/shawnee,7,15,held,HTTP 403
knoe.com,KNOE,arkansas/union,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ktlo.com,KTLO,arkansas/madison,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ktvq.com,KTVQ,montana/yellowstone,1,3,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
kyma.com,KYMA,arizona/pima,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
lakeconews.com,Lake County News,california/lake,4,9,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
lebanonlocalnews.com,Lebanon Local,oregon/curry,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kroc.com,106.9 KROC,minnesota/dakota,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
knue.com,101.5 KNUE Country Radio,texas/anderson,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
longislandpress.com,Long Island Press,new-york/nassau,1,10,approved,Publisher explicitly identifies Nassau and Suffolk County readers.
lewistownsentinel.com,The Sentinel,pennsylvania/mifflin,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
losalamosreporter.com,Los Alamos Reporter,new-mexico/los-alamos,5,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
lightreading.com,Light Reading,florida/seminole,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
lockhaven.com,The Express - Lock Haven,pennsylvania/clinton,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
demingheadlight.com,Deming Headlight,new-mexico/luna,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
just-drinks.com,Drinks,kentucky/garrard,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
missourinet.com,Missourinet,missouri/camden,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
michigancapitolconfidential.com,Michigan Capitol Confidential,michigan/genesee,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ms.now,ms,texas/tarrant,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
mycentraloregon.com,Mycentraloregon,oregon/crook,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
nbc26.com,NBC26,wisconsin/manitowoc,0,3,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
morningjournalnews.com,Morning Journal,ohio/mahoning,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
nbcsandiego.com,NBC 7 San Diego,california/san-diego,6,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
mountainhomenews.com,Mountain Home News,idaho/gem,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
mywabashvalley.com,Mywabashvalley,indiana/martin,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
neatowncourier.com,NEA Town Courier,arkansas/mississippi,7,15,held,HTTP 403
newsradio1310.com,News Radio 1310 KLIX,idaho/jerome,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
northcarolinahealthnews.org,North Carolina Health News,north-carolina/davie,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
nextcity.org,Next City,virginia/charlottesville,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
northfortynews.com,North Forty News,colorado/larimer,2,10,approved,"Northern Colorado publisher lists reporting by area for Fort Collins, Loveland and Greeley; mapped to Larimer and Weld counties."
northwestgeorgianews.com,Northwest Georgia News,georgia/catoosa,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
observertoday.com,Observer Today,new-york/chautauqua,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
oregonbusiness.com,Oregon Business,oregon/lake,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
northescambia.com,Northescambia,florida/escambia,4,10,held,Robots unavailable: _ssl.c:1064: The handshake operation timed out
parkrecord.com,The Park Record,utah/wasatch,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
pbn.com,Providence Business News,rhode-island/newport,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
paisano-online.com,The Paisano,texas/bexar,5,10,approved,"University of Texas at San Antonio independent student newspaper, Bexar County, Texas."
radioink.com,Radio Ink,kentucky/morgan,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
plasticstoday.com,Plastics Today,north-carolina/henderson,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
poynter.org,Poynter,alaska/northwest-arctic,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
redmondspokesman.com,The Redmond Spokesman,oregon/crook,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
pineandlakes.com,Pine and Lakes Echo Journal,minnesota/cass,3,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
rebusinessonline.com,REBusinessOnline,texas/briscoe,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
redrocknews.com,Sedona Red Rock News,arizona/yavapai,2,5,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
rermag.com,Rental Equipment Register,virginia/culpeper,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
reviewonline.com,The Review,west-virginia/hancock,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
rocklandtimes.com,Rockland County Times,new-york/rockland,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
satnews.com,Satellite News,arizona/cochise,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
richlandtoday.com,Richlandtoday,wisconsin/richland,4,10,held,Wrong state in queue and inconsistent current site identity; do not approve.
santamariasun.com,Santa Maria Sun,california/santa-barbara,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
scientificamerican.com,Scientific American magazine,north-carolina/wilson,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
sentientmedia.org,Sentient Media,iowa/monona,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
smokymountainnews.com,Smoky Mountain News,north-carolina/swain,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
shelbycountyreporter.com,Shelby County Reporter,alabama/shelby,7,15,held,HTTP 403
snjtoday.com,SNJ Today,new-jersey/salem,0,4,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
spacecoastdaily.com,Space Coast Daily,florida/brevard,4,12,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
southwhidbeyrecord.com,South Whidbey Record,washington/island,4,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
statnews.com,STAT,kentucky/estill,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
statecollege.com,State College,pennsylvania/centre,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
stlmag.com,St. Louis Magazine,missouri/pulaski,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
steamboatpilot.com,Steamboat Pilot & Today,colorado/routt,7,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
stnonline.com,School Transportation News,nevada/churchill,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
summitdaily.com,Summitdaily,colorado/summit,7,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
tallahasseereports.com,Tallahassee Reports,florida/leon,4,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
theassemblync.com,The Assembly NC,north-carolina/nash,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
securities.io,Securities Io,texas/milam,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
talbotspy.org,Talbot Spy,maryland/talbot,1,15,approved,Publisher about/contact pages explicitly identify the Talbot community newsroom; ignore a conflicting syndicated homepage metadata description.
thecentralvirginian.com,The Central Virginian,virginia/louisa,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
theclaytontribune.com,The Clayton Tribune,georgia/rabun,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
thepostsearchlight.com,The Post-Searchlight,georgia/decatur,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
thefallonpost.org,The Fallon Post,nevada/churchill,4,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
stuttgartdailyleader.com,Stuttgart Daily Leader,arkansas/arkansas,2,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
theurbanist.org,The Urbanist,washington/snohomish,2,15,approved,Publisher describes Puget Sound advocacy journalism; reviewed King and Snohomish county coverage subset. Listing does not imply endorsement.
sanjuanjournal.com,The Journal of the San Juan Islands,washington/san-juan,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
thewrap.com,TheWrap,pennsylvania/bucks,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
thevillagereporter.com,The Village Reporter,ohio/fulton,6,15,approved,"Publisher masthead and 2026 rate card explicitly identify Fulton and Williams counties, Ohio."
thetandd.com,The Times and Democrat,south-carolina/orangeburg,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
transportationtodaynews.com,Transportation Today,north-carolina/scotland,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tnecd.com,Tennessee Department of Economic & Community Development,tennessee/hawkins,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
truthout.org,Truthout,texas/tarrant,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tidewaternews.com,Tidewater News,virginia/southampton,3,10,held,Current site emphasizes guest posts and national commercial content; historical Southampton newspaper identity is not established by the current masthead. Hold for ownership/local reporting verification.
turnto23.com,23ABC News Bakersfield,california/kern,2,3,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
timesrepublican.com,Times Republican,indiana/owen,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tsln.com,Tri-State Livestock News,south-dakota/meade,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tristatehomepage.com,Tristatehomepage,indiana/pike,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
vogue.com,Vogue,rhode-island/newport,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
villages-news.com,Villages News,florida/sumter,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
urbanmilwaukee.com,Urban Milwaukee,wisconsin/milwaukee,5,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
ucsf.edu,UC San Francisco,california/madera,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tuscaloosathread.com,Tuscaloosa Thread,alabama/shelby,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wfmd.com,WFMD-AM,maryland/carroll,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wccbcharlotte.com,WCCB Charlotte,south-carolina/georgetown,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
whatsupnewp.com,What's Up Newp,rhode-island/newport,4,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wgmd.com,WGMD,maryland/dorchester,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wagmtv.com,WAGM-TV,maine/aroostook,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
whec.com,News10NBC,new-york/genesee,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wkbw.com,WKBW,new-york/erie,3,4,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wgel.com,wgel,illinois/clinton,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wkdzradio.com,WKDZ Radio,kentucky/caldwell,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wjon.com,WJON,minnesota/stearns,3,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wtaq.com,WTAQ News Talk,wisconsin/brown,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wmal.com,WMAL,virginia/manassas-park,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wlfi.com,WLFI News 18,indiana/tippecanoe,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
willistonherald.com,Williston Herald,north-dakota/williams,2,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wsbradio.com,WSB Radio,georgia/butts,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wpgtalkradio.com,WPG Talk Radio 95.5 FM,new-jersey/atlantic,5,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wvnstv.com,WVNS-TV,west-virginia/wayne,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wyofile.com,WyoFile,wyoming/laramie,0,10,approved,"State-focused newsroom identified by the States Newsroom network directory and verified on the publisher website. Listed as a statewide supplement, not as a county-based newsroom."
wxxv25.com,WXXV News 25,mississippi/hancock,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
abc17news.com,ABC17NEWS,illinois/boone;missouri/morgan,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
1380kcim.com,1380 KCIM,iowa/carroll;iowa/greene,2,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
abc57.com,ABC57,michigan/berrien;indiana/marshall,4,15,approved,South Bend newsroom explicitly serves Michiana; listed counties are the reviewed Indiana/southwest Michigan coverage subset.
wthitv.com,WTHI News10,indiana/jackson,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
